# Couplings a change has to honour, as data rather than prose.
# Columns: glob<TAB>level<TAB>consequence<TAB>check-command (empty = advisory)
# level: fail = the tree is inconsistent now; warn = a human must confirm.
# Globs are matched with bash `case` against repo-relative paths.
installer/src/*.sh	fail	install.sh is generated from these parts and must be rebuilt	./installer/build.sh --check
portability-rules.json	fail	PORTABILITY.md is generated from the rule registry	./generate-portability.sh --check
generate-portability.sh	fail	PORTABILITY.md is generated by this script	./generate-portability.sh --check
planning/SKILL.md	fail	REVIEWER.md projects SKILL.md and pins its whole-file SHA-256	bash planning/tests/test-reviewer-projection.sh
planning/REVIEWER.md	fail	REVIEWER.md is generated; edit SKILL.md and regenerate instead	bash planning/tests/test-reviewer-projection.sh
planning/PACKAGE-MANIFEST.tsv	fail	the manifest, the map and the installer file list are compared	bash planning/tests/test-installer-manifest.sh
planning/PACKAGE-MAP.tsv	fail	the manifest, the map and the installer file list are compared	bash planning/tests/test-installer-manifest.sh
planning/scripts/plan-context-lib.sh	warn	entry ids and view names are documented in SKILL.md and REVIEWER.md and asserted by the context tests	
planning/scripts/plan-inventory-lib.sh	warn	the nine-field TSV order is a contract for every caller of plan_inventory_split	
planning/scripts/plan-document-lib.sh	warn	plan_die exit codes are a contract callers branch on (CODE-STYLE §5)	
planning/scripts/plan-map-lib.sh	warn	the hex key encoding must keep AR-01 distinct from AR_01	
benchmark/planning/case/start-worker.sh	warn	a byte-identical copy is placed in each generated case	
CODE-STYLE.md	warn	rules here are asserted by the suite; a new rule needs an assertion or an explicit note that it is a review item	
planning/MAINTAINER.md	warn	the artifact map must still describe the tree	
installer/src/50-manifest.sh	fail	the file list must name files that exist and cover every shipped file	bash tests/test-skill-files-manifest.sh
installer/unshipped-planning-files.txt	fail	a planning file outside the installer list must be parked here deliberately	bash tests/test-skill-files-manifest.sh
todo/schema.*.json	fail	a register schema ships for the package version and its upgrade recipes run	bash tests/test-register-schemas.sh
bug-report/schema.*.json	fail	a register schema ships for the package version and its upgrade recipes run	bash tests/test-register-schemas.sh
installer/build-release.sh	fail	the release tarball must hold exactly the files marked for production, byte for byte	bash tests/test-release-package.sh
*/schema.*.json	fail	a register schema ships for the package version and its upgrade recipes run	bash tests/test-register-schemas.sh
